Present_Price_log,Kms_Driven_log,Car_Age,Owner,Fuel_Diesel,Fuel_Petrol,Seller_Type_enc,Transmission_enc
1.8855533485144158,10.203629181337648,12,0,0,1,0,1
2.355177543113216,10.668978650219241,13,0,1,0,0,1
2.3841650799864684,8.839421607620602,9,0,0,1,0,1
1.6389967146756448,8.556606193773073,15,0,0,1,0,1
2.063058062429312,10.65610574858806,12,0,1,0,0,1
2.382320061012899,7.6362696033793735,8,0,1,0,0,1
2.21046980408624,9.841452561616595,11,0,0,1,0,1
2.262804222982201,10.417208979414145,11,0,1,0,0,1
2.2915241456346207,9.917094555942345,10,0,1,0,0,1
2.2945529212967815,10.65414863929668,11,0,1,0,0,1
1.5260563034950492,7.666690200080086,9,0,0,1,0,1
2.431857428698185,10.839600519357369,11,0,1,0,0,1
2.392425796993835,9.61587214452889,11,0,0,1,0,0
2.1644717908644115,10.165890277802454,11,0,0,1,0,1
2.105352923464337,11.257103751265436,17,0,0,1,0,1
2.4672517145492794,10.668978650219241,10,0,1,0,0,1
2.4672517145492794,10.637752683816972,11,0,1,0,0,1
1.8066480817218056,10.477316144080852,11,0,0,0,0,1
2.194999882314108,10.632074268135453,16,0,0,1,0,1
1.599387576580599,10.12667110305036,10,0,0,1,0,1
1.9035989509835904,7.783640596221253,9,0,0,1,0,1
2.1983350716202463,10.819798284210286,15,0,0,1,0,0
1.4951487660319727,10.720642797438853,12,0,0,1,0,1
1.6882490928583902,10.948699064477122,13,0,0,1,0,1
1.7900914121273581,9.90353755128617,15,0,0,1,0,1
1.927164106234258,10.917612548758637,13,0,0,1,0,1
2.0135687975291283,9.692828247710418,9,0,0,1,1,1
1.599387576580599,10.70421029372945,16,0,0,1,0,1
2.431857428698185,10.714439990727769,11,0,1,0,0,1
1.9430489167742813,10.8481713589115,14,0,1,0,0,1
1.7732559976634952,10.900454637442037,15,0,0,1,0,1
2.138889000323256,10.571342565808699,12,0,1,0,0,1
2.3933394562625097,10.714439990727769,12,0,1,0,0,1
2.203869120054888,10.714439990727769,12,0,1,0,0,1
2.167910189667444,10.81975828421028,15,0,0,0,0,1
2.1041341542702074,10.794829639046318,11,0,0,1,0,1
1.5602476682433286,9.21830854162536,10,0,0,1,0,1
2.194999882314108,11.034905792929415,23,0,0,1,0,1
2.1826747963214883,10.107448284433564,10,0,0,1,0,0
1.6054298910365616,10.751649325357784,12,0,0,1,0,1
2.0980179272527715,10.968215530759236,18,0,0,1,0,1
2.203869120054888,10.731624436867815,12,0,1,0,0,1
1.3056264580524357,10.819798284210286,14,0,0,1,0,1
2.5680215564985067,9.61587214452889,12,0,0,1,0,0
1.7732559976634952,11.074931999853908,13,0,0,1,0,1
1.6389967146756448,11.082157933374816,20,0,0,1,0,1
2.1644717908644115,10.16087792924552,11,0,0,1,0,1
2.331172549845958,10.518700218288165,9,0,0,1,0,0
3.4534735262275262,10.596659732783579,11,0,1,0,0,0
3.033509637888021,9.61587214452889,9,0,1,0,0,0
2.4168062370840686,11.407576060361786,21,0,0,1,1,1
2.7750856024383683,11.156264806643742,17,0,0,1,0,0
2.1126345090356,10.609921077421808,11,0,0,1,0,1
2.972463646614637,10.819798284210286,16,0,0,1,0,1
2.0541237336955462,10.583701457684175,12,1,0,1,0,1
3.6098362467734835,10.62135173563291,12,0,1,0,0,0
2.976039640208255,10.596684731846114,13,0,0,1,0,1
2.163323025660538,10.611252372919454,11,0,0,1,0,1
3.6098362467734835,11.264476926102367,12,0,1,0,0,0
3.6098362467734835,10.757924157061597,11,0,1,0,0,0
3.6171148878846253,8.699681400989514,9,0,1,0,0,0
2.0731719286662407,10.714439990727769,12,0,1,0,0,1
3.184284380098582,9.305741456739435,9,0,0,1,0,0
3.065724645374026,10.985309671896763,16,0,1,0,0,1
2.6905648867611904,11.385103457032141,15,0,0,1,0,1
3.086943153607375,9.392745258631441,10,0,0,1,0,1
2.048982334195127,11.170449240431308,12,0,1,0,0,1
2.601207105484161,10.714439990727769,15,0,1,0,0,1
2.976039640208255,10.933142683365261,13,0,0,1,0,1
1.9035989509835904,10.668978650219241,15,0,0,1,0,1
2.295560478057081,11.326607934898927,12,0,1,0,0,1
2.0541237336955462,10.491301994830229,11,0,0,1,0,1
2.7523860149222616,11.184435286790631,13,0,0,1,0,1
3.170945291110651,11.289794413577894,16,0,0,1,0,0
3.4534735262275262,11.39640288460621,14,0,1,0,0,0
2.7656899805486246,10.043292972227004,10,0,1,0,0,1
2.180417459019838,10.596659732783579,11,0,1,0,0,1
